date	Write Count	Read Count	Total Count
2013-7-18 9:51:38	185381060	81821919	267202979
2013-7-18 9:52:09	185381111	81823544	267204655
2013-7-18 9:52:38	185381166	81825475	267206641
2013-7-18 9:53:11	185381190	81826903	267208093
2013-7-18 9:53:39	185381240	81828960	267210200
2013-7-18 9:54:08	185381323	81830651	267211974
2013-7-18 9:54:39	185381349	81832642	267213991
2013-7-18 9:55:08	185381394	81834008	267215402
2013-7-18 9:55:38	185381452	81835818	267217270
2013-7-18 9:56:09	185381479	81837820	267219299
2013-7-18 9:56:38	185381509	81840095	267221604
2013-7-18 9:57:09	185381531	81842517	267224048
2013-7-18 9:57:38	185381564	81844681	267226245
2013-7-18 9:58:09	185381625	81846178	267227803
2013-7-18 9:58:38	185381672	81847958	267229630
2013-7-18 9:59:08	185381708	81850304	267232012
2013-7-18 9:59:38	185381741	81851614	267233355
2013-7-18 10:00:09	185382073	81853521	267235594
2013-7-18 10:00:38	185382167	81855368	267237535
2013-7-18 10:01:08	185382237	81857210	267239447
2013-7-18 10:01:38	185382281	81859544	267241825
2013-7-18 10:02:08	185382307	81861388	267243695
2013-7-18 10:02:38	185382326	81862800	267245126
2013-7-18 10:03:08	185382380	81864401	267246781
2013-7-18 10:03:39	185382396	81866317	267248713
2013-7-18 10:04:08	185382471	81868164	267250635
2013-7-18 10:04:39	185382528	81870585	267253113
2013-7-18 10:05:08	185382931	81872343	267255274
2013-7-18 10:05:39	185383090	81874311	267257401
2013-7-18 10:06:09	185383145	81876587	267259732
2013-7-18 10:06:39	185383176	81878009	267261185
2013-7-18 10:07:09	185383218	81880364	267263582
2013-7-18 10:07:38	185383250	81882706	267265956
2013-7-18 10:08:09	185383270	81884966	267268236
2013-7-18 10:08:38	185383279	81886780	267270059
2013-7-18 10:09:09	185383294	81888852	267272146
2013-7-18 10:09:39	185383317	81890558	267273875
2013-7-18 10:10:08	185383716	81892672	267276388
2013-7-18 10:10:38	185384021	81895342	267279363
2013-7-18 10:11:09	185384088	81897469	267281557
2013-7-18 10:11:38	185384142	81900066	267284208
2013-7-18 10:12:09	185384177	81901841	267286018
2013-7-18 10:12:38	185384229	81904159	267288388
2013-7-18 10:13:09	185384255	81905654	267289909
2013-7-18 10:13:39	185384262	81907621	267291883
2013-7-18 10:14:09	185384344	81910238	267294582
2013-7-18 10:14:38	185384400	81911984	267296384
2013-7-18 10:15:09	185384448	81913983	267298431
2013-7-18 10:15:39	185384533	81915964	267300497
2013-7-18 10:16:09	185384567	81917651	267302218
2013-7-18 10:16:38	185384594	81919370	267303964
2013-7-18 10:17:09	185384632	81921709	267306341
2013-7-18 10:17:39	185384674	81924888	267309562
2013-7-18 10:18:09	185384698	81927892	267312590
2013-7-18 10:18:39	185384734	81929682	267314416
2013-7-18 10:19:13	185384764	81932015	267316779
2013-7-18 10:19:39	185384805	81934269	267319074
2013-7-18 10:20:08	185384911	81935976	267320887
2013-7-18 10:20:39	185384945	81938014	267322959
2013-7-18 10:21:08	185385046	81940145	267325191
2013-7-18 10:21:38	185385074	81942530	267327604
2013-7-18 10:22:09	185385158	81944600	267329758
2013-7-18 10:22:39	185385225	81946711	267331936
2013-7-18 10:23:09	185385281	81949118	267334399
2013-7-18 10:23:38	185385345	81951605	267336950
2013-7-18 10:24:08	185385400	81953728	267339128
2013-7-18 10:24:39	185385425	81955571	267340996
2013-7-18 10:25:10	185385463	81957493	267342956
2013-7-18 10:25:39	185385503	81959879	267345382
2013-7-18 10:26:09	185385572	81961321	267346893
2013-7-18 10:26:39	185385627	81963400	267349027
2013-7-18 10:27:09	185385660	81965121	267350781
2013-7-18 10:27:38	185385687	81967132	267352819
2013-7-18 10:28:08	185385702	81968994	267354696
2013-7-18 10:28:39	185385713	81970463	267356176
2013-7-18 10:29:09	185385738	81972697	267358435
2013-7-18 10:29:39	185385780	81975801	267361581
2013-7-18 10:30:09	185386201	81978576	267364777
2013-7-18 10:30:39	185386266	81981340	267367606
2013-7-18 10:31:08	185386312	81983762	267370074
2013-7-18 10:31:39	185386334	81985794	267372128
2013-7-18 10:32:08	185386370	81988631	267375001
2013-7-18 10:32:39	185386464	81991360	267377824
2013-7-18 10:33:08	185386486	81993422	267379908
2013-7-18 10:33:39	185386518	81995729	267382247
2013-7-18 10:34:08	185386575	81998174	267384749
2013-7-18 10:34:39	185386697	82000298	267386995
2013-7-18 10:35:09	185386835	82002705	267389540
2013-7-18 10:35:39	185386881	82004868	267391749
2013-7-18 10:36:08	185386917	82006629	267393546
2013-7-18 10:36:39	185386967	82008447	267395414
2013-7-18 10:37:09	185387021	82011118	267398139
2013-7-18 10:37:39	185387072	82013467	267400539
2013-7-18 10:38:09	185387128	82015815	267402943
2013-7-18 10:38:38	185387180	82017923	267405103
2013-7-18 10:39:09	185387241	82019859	267407100
2013-7-18 10:39:39	185387256	82021264	267408520
2013-7-18 10:40:09	185387328	82023270	267410598
2013-7-18 10:40:39	185387347	82025360	267412707
2013-7-18 10:41:09	185387498	82028075	267415573
